Year,Month,Day,Precipitation,Humidity,Relative_Humidity,Temp_Max,Temp_Min,Dew,WS,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,Mortality,Mortality_Perc
2020,5,1,16.95,17.82,79.76,30.45,23.14,23.34,2.36,BGD,Asia,Bangladesh,2020-05-01,8238,571,507,170,2,5.571,50.021,3.467,3.079,1.032,0.012,0.034,1.37, , , , , , , , ,5827,76066,0.462,0.035,4708,0.029,0.108,9.3,tests performed, , , , , , , , , ,0.020636077,2.063607672
2020,5,2,12.4,18.15,81.02,30.75,23.66,23.61,2.75,BGD,Asia,Bangladesh,2020-05-02,8790,552,541.714,175,5,5,53.373,3.352,3.289,1.063,0.03,0.03,1.35, , , , , , , , ,5368,81434,0.494,0.033,4978,0.03,0.109,9.2,tests performed, , , , , , , , , ,0.019908987,1.990898749
2020,5,3,14.1,18.26,82.25,30.78,23.55,23.7,2.74,BGD,Asia,Bangladesh,2020-05-03,9455,665,577,177,2,4.571,57.411,4.038,3.504,1.075,0.012,0.028,1.35, , , , , , , , ,6260,87694,0.532,0.038,5328,0.032,0.108,9.2,tests performed, , , , , , , , , ,0.018720254,1.872025383
2020,5,4,7.2,18.21,77.04,31.97,23.75,23.71,2.14,BGD,Asia,Bangladesh,2020-05-04,10143,688,604.286,182,5,4.286,61.589,4.178,3.669,1.105,0.03,0.026,1.35, , , , , , , , ,5711,93405,0.567,0.035,5525,0.034,0.109,9.1,tests performed, , , , , , , , , ,0.017943409,1.794340925
2020,5,5,10.11,19.88,79.74,32.77,24.66,25.13,3.42,BGD,Asia,Bangladesh,2020-05-05,10929,786,638.143,183,1,4,66.361,4.773,3.875,1.111,0.006,0.024,1.35, , , , , , , , , , , , ,5261,0.032,0.121,8.2,tests performed, , , , , , , , , ,0.016744441,1.674444139
2020,5,6,45.98,18.9,79.18,31.13,25.49,24.3,1.95,BGD,Asia,Bangladesh,2020-05-06,11719,790,659.429,186,3,3.286,71.158,4.797,4.004,1.129,0.018,0.02,1.33, , , , , , , , ,6241,99646,0.605,0.038,4997,0.03,0.132,7.6,tests performed, , , , , , , , , ,0.015871661,1.58716614
2020,5,7,8.81,17.53,73.8,31.96,23.21,23.1,1.35,BGD,Asia,Bangladesh,2020-05-07,12425,706,679.714,199,13,4.429,75.445,4.287,4.127,1.208,0.079,0.027,1.3, , , , , , , , ,5867,105513,0.641,0.036,5039,0.031,0.135,7.4,tests performed, , , , , , , , , ,0.016016097,1.601609658
2020,5,8,6.82,17.34,73.58,32.02,23.76,22.92,2.26,BGD,Asia,Bangladesh,2020-05-08,13134,709,699.429,206,7,5.143,79.75,4.305,4.247,1.251,0.043,0.031,1.29, , , , , , , , ,5941,111454,0.677,0.036,5055,0.031,0.138,7.2,tests performed, , , , , , , , , ,0.015684483,1.568448302
2020,5,9,20.58,18.53,75.47,32.74,23.78,24,2.23,BGD,Asia,Bangladesh,2020-05-09,13770,636,711.429,214,8,5.571,83.612,3.862,4.32,1.299,0.049,0.034,1.3, , , , , , , , ,5465,116919,0.71,0.033,5069,0.031,0.14,7.1,tests performed, , , , , , , , , ,0.015541031,1.554103123
2020,5,10,13.17,18.97,72.68,33.14,25.19,24.43,1.42,BGD,Asia,Bangladesh,2020-05-10,14657,887,743.143,228,14,7.286,88.998,5.386,4.512,1.384,0.085,0.044,1.33, , , , , , , , ,5738,122657,0.745,0.035,4995,0.03,0.149,6.7,tests performed, , , , , , , , , ,0.015555707,1.555570717
2020,5,11,4.1,18.77,72.39,32.71,26.66,24.25,1.6,BGD,Asia,Bangladesh,2020-05-11,15691,1034,792.571,239,11,8.143,95.276,6.278,4.813,1.451,0.067,0.049,1.36, , , , , , , , ,7208,129865,0.789,0.044,5209,0.032,0.152,6.6,tests performed, , , , , , , , , ,0.015231661,1.523166146
2020,5,12,2.16,19,74.87,33.05,25.74,24.42,2.76,BGD,Asia,Bangladesh,2020-05-12,16660,969,818.714,250,11,9.571,101.16,5.884,4.971,1.518,0.067,0.058,1.37, , , , , , , , ,6773,136638,0.83,0.041,5730,0.035,0.143,7,tests performed, , , , , , , , , ,0.015006002,1.50060024
2020,5,13,0.54,19.57,80.32,32.64,25.01,24.85,5.18,BGD,Asia,Bangladesh,2020-05-13,17822,1162,871.857,269,19,11.857,108.216,7.056,5.294,1.633,0.115,0.072,1.37, , , , , , , , ,7900,144538,0.878,0.048,6413,0.039,0.136,7.4,tests performed, , , , , , , , , ,0.015093704,1.509370441
2020,5,14,12.2,20.09,81.38,32.69,24.95,25.28,3.95,BGD,Asia,Bangladesh,2020-05-14,18863,1041,919.714,283,14,12,114.537,6.321,5.585,1.718,0.085,0.073,1.36, , , , , , , , ,7392,151930,0.923,0.045,6631,0.04,0.139,7.2,tests performed, , , , , , , , , ,0.015002916,1.500291576
2020,5,15,16.51,20.45,82.2,32.65,25.35,25.54,3.91,BGD,Asia,Bangladesh,2020-05-15,20065,1202,990.143,298,15,13.143,121.835,7.299,6.012,1.809,0.091,0.08,1.36, , , , , , , , ,8582,160512,0.975,0.052,7008,0.043,0.141,7.1,tests performed, , , , , , , , , ,0.014851732,1.485173187
2020,5,16,15.2,21.1,83.28,33.44,25.22,26.04,5.21,BGD,Asia,Bangladesh,2020-05-16,20995,930,1032.143,314,16,14.286,127.482,5.647,6.267,1.907,0.097,0.087,1.35, , , , , , , , ,6782,167294,1.016,0.041,7196,0.044,0.143,7,tests performed, , , , , , , , , ,0.014955942,1.495594189
2020,5,17,20.68,20.83,80.8,33.86,25.29,25.85,3.7,BGD,Asia,Bangladesh,2020-05-17,22268,1273,1087.286,328,14,14.286,135.212,7.73,6.602,1.992,0.085,0.087,1.37, , , , , , , , ,8114,175408,1.065,0.049,7536,0.046,0.144,6.9,tests performed, , , , , , , , , ,0.014729657,1.472965691
2020,5,18,0.32,21.06,81.33,33.55,25.71,25.99,3.17,BGD,Asia,Bangladesh,2020-05-18,23870,1602,1168.429,349,21,15.714,144.94,9.727,7.095,2.119,0.128,0.095,1.39, , , , , , , , ,9788,185196,1.125,0.059,7904,0.048,0.148,6.8,tests performed, , , , , , , , , ,0.014620863,1.462086301
2020,5,19,3.29,18.85,77.82,31.48,25.5,24.17,3.5,BGD,Asia,Bangladesh,2020-05-19,25121,1251,1208.714,370,21,17.143,152.536,7.596,7.339,2.247,0.128,0.104,1.38, , , , , , , , ,8449,193645,1.176,0.051,8144,0.049,0.148,6.7,tests performed, , , , , , , , , ,0.014728713,1.472871303
2020,5,20,39.39,19.56,85.78,31.46,23.69,24.63,12.33,BGD,Asia,Bangladesh,2020-05-20,26738,1617,1273.714,386,16,16.714,162.354,9.818,7.734,2.344,0.097,0.101,1.38, , , , , , , , ,10260,203905,1.238,0.062,8481,0.051,0.15,6.7,tests performed, , , , , , , , , ,0.014436383,1.443638268
2020,5,21,57.08,19.95,87.03,29.67,25.92,24.94,13.54,BGD,Asia,Bangladesh,2020-05-21,28511,1773,1378.286,408,22,17.857,173.12,10.766,8.369,2.477,0.134,0.108,1.38, , , , , , , , ,10262,214167,1.3,0.062,8891,0.054,0.155,6.5,tests performed, , , , , , , , , ,0.014310266,1.431026621
