-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,,,,,,,,,,
Dates (month/day/year): 12/01/2019 through 03/07/2021 ,,,,,,,,,,,,,,
Location: Latitude  23.685   Longitude 90.3563 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 8.81 meters   Site = na ,,,,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) ,,,,,,,,,,,,,,
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) ,,,,,,,,,,,,,,
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) ,,,,,,,,,,,,,,
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,T2M_RANGE,T2MDEW,T2M_MAX,T2M_MIN,T2M,WS50M_RANGE,WS50M
23.68501,90.35631,2019,12,1,0,12.73,84.55,8.94,17.98,25.48,16.54,20.66,1.88,3.63
23.68501,90.35631,2019,12,2,0,11.48,81.37,8.99,16.37,24.89,15.9,19.62,2.5,3.4
23.68501,90.35631,2019,12,3,0,10.89,80.62,9.93,15.56,24.17,14.23,18.93,2.6,3.16
23.68501,90.35631,2019,12,4,0,11.48,84.32,10.66,16.38,24.8,14.13,19.07,2.97,4.17
23.68501,90.35631,2019,12,5,0,11.58,77.12,12.73,16.58,27.13,14.39,20.67,3.63,2.3
23.68501,90.35631,2019,12,6,0,12.17,79.39,11.34,17.34,27.23,15.88,20.99,4.57,3.32
23.68501,90.35631,2019,12,7,0,11.52,76.73,10.37,16.48,25.63,15.26,20.65,2.88,2.85
23.68501,90.35631,2019,12,8,0,11.42,73.22,8.32,16.37,25.89,17.57,21.28,2.61,1.81
23.68501,90.35631,2019,12,9,0,11.92,79.07,7.71,17,25.13,17.43,20.71,2.95,2.05
23.68501,90.35631,2019,12,10,0,11.52,81.29,8.69,16.41,24.21,15.52,19.68,2.62,2.82
23.68501,90.35631,2019,12,11,0,10.88,76.89,9.61,15.55,24.38,14.78,19.66,3.02,2.47
23.68501,90.35631,2019,12,12,0,10.97,79.22,8.49,15.68,24.02,15.52,19.32,2.53,3.21
23.68501,90.35631,2019,12,13,0,10.47,76.03,9.81,15,24.32,14.51,19.26,2.69,2.07
23.68501,90.35631,2019,12,14,0,10.78,76.24,11.19,15.46,25.48,14.29,19.7,3.35,2.49
23.68501,90.35631,2019,12,15,0,11.74,83,9.57,16.74,24.59,15.03,19.68,2.91,3.21
23.68501,90.35631,2019,12,16,0,11.51,84.53,8.67,16.41,24.04,15.37,19.06,3.81,3.86
23.68501,90.35631,2019,12,17,0,11.13,86.05,9.83,15.89,23.76,13.93,18.26,3.04,3.96
23.68501,90.35631,2019,12,18,0,9.83,86.66,9.11,13.97,21.54,12.43,16.2,3.28,5.4
23.68501,90.35631,2019,12,19,0,8.87,89.14,10.17,12.38,19.84,9.67,14.16,3.74,4.85
23.68501,90.35631,2019,12,20,0,8.37,81.86,11.04,11.51,20.19,9.16,14.56,4.05,3.27
23.68501,90.35631,2019,12,21,0,8.67,85.67,9.31,12.03,19.46,10.14,14.41,2.85,3
23.68501,90.35631,2019,12,22,0,8.72,85.47,10.46,12.12,20.3,9.84,14.53,2.9,3.42
23.68501,90.35631,2019,12,23,0,9.26,85.34,10.53,13.03,21.48,10.96,15.48,2.23,4.24
23.68501,90.35631,2019,12,24,0,8.9,82.58,11.61,12.45,21.74,10.13,15.39,1.9,4.37
23.68501,90.35631,2019,12,25,0.01,8.62,81.49,11.65,11.97,21.24,9.59,15.1,3.29,3.58
23.68501,90.35631,2019,12,26,0.86,9.14,80.27,11.36,12.86,22.49,11.13,16.23,4.33,4.16
23.68501,90.35631,2019,12,27,15.32,8.66,87.69,6.16,11.99,17.33,11.17,14.01,4.43,4.42
23.68501,90.35631,2019,12,28,0.48,8.02,83.38,12.13,10.89,20.28,8.16,13.64,3.47,5.47
23.68501,90.35631,2019,12,29,0.06,8.61,83.25,13.88,11.96,22.25,8.37,14.76,4.31,4.78
23.68501,90.35631,2019,12,30,0,9.09,82.48,13.46,12.79,22.82,9.36,15.74,5.82,3.56
23.68501,90.35631,2019,12,31,0,9.64,76.46,12.74,13.73,24.12,11.38,17.87,2.51,2.01
23.68501,90.35631,2020,1,1,0,10.19,71.24,10.9,14.63,25.71,14.81,19.91,1.95,1.36
23.68501,90.35631,2020,1,2,0.01,11.09,77.52,11.44,15.93,25.67,14.23,19.92,3.26,2.73
23.68501,90.35631,2020,1,3,40.86,11.35,92.46,4.96,16.17,19.98,15.03,17.43,3.19,2.41
23.68501,90.35631,2020,1,4,3.56,10.85,83.84,8.8,15.47,23.01,14.21,18.24,1.32,1.96
23.68501,90.35631,2020,1,5,7.94,10.27,86.23,8.08,14.61,21.46,13.39,16.93,3.56,3.76
23.68501,90.35631,2020,1,6,0.09,8.35,81.53,10.62,11.52,20.19,9.56,14.63,3.88,4.26
23.68501,90.35631,2020,1,7,0.04,8.06,79.66,12.29,10.99,20.83,8.54,14.43,5.1,3.93
23.68501,90.35631,2020,1,8,0,8.44,77.77,10.8,11.67,21.15,10.34,15.49,2.03,2.94
23.68501,90.35631,2020,1,9,0.93,9.36,85.03,9.1,13.2,20.31,11.21,15.71,4.83,3.34
23.68501,90.35631,2020,1,10,0.68,9.85,84.88,9.11,13.99,21.77,12.66,16.54,2.78,4.35
23.68501,90.35631,2020,1,11,0.59,8.87,86.82,9.9,12.39,19.97,10.07,14.56,2.25,5.47
23.68501,90.35631,2020,1,12,0,8.59,83.85,11.37,11.89,21.04,9.67,14.58,3.34,5.37
23.68501,90.35631,2020,1,13,0,8.33,80.06,12.19,11.43,21.14,8.95,14.8,3.91,3.72
23.68501,90.35631,2020,1,14,0,8.87,79.03,12.18,12.4,21.85,9.67,15.99,3.76,2.62
23.68501,90.35631,2020,1,15,0,9.73,80.5,11.1,13.8,22.76,11.66,17.16,2.23,2.67
23.68501,90.35631,2020,1,16,0,9.79,74.77,12.94,13.93,24.85,11.91,18.42,4.06,2.72
23.68501,90.35631,2020,1,17,0,10.41,73.14,13.27,14.9,26.49,13.22,19.77,5.06,2.42
23.68501,90.35631,2020,1,18,0,10.44,71.11,11.72,14.95,26.89,15.18,20.27,3.31,2.18
23.68501,90.35631,2020,1,19,0.02,11.19,80.04,10.78,15.97,25.96,15.18,19.46,7.02,3.39
23.68501,90.35631,2020,1,20,0.01,9.43,81.49,8.62,13.35,21.39,12.77,16.51,2.32,4.64
23.68501,90.35631,2020,1,21,0,7.63,72.13,11.34,10.22,20.81,9.47,15.13,1.69,3.52
23.68501,90.35631,2020,1,22,0,7.47,69.77,12.46,9.9,21.44,8.98,15.32,2.72,3.36
23.68501,90.35631,2020,1,23,0,8.56,74.21,10.98,11.91,22.38,11.4,16.46,4.22,2.97
23.68501,90.35631,2020,1,24,0,7.67,70.87,10.32,10.28,21.43,11.1,15.47,2.85,3.12
23.68501,90.35631,2020,1,25,0,7.25,66.83,11.96,9.43,21.72,9.77,15.49,2.23,2.76
23.68501,90.35631,2020,1,26,0,7.31,67.97,10.48,9.54,21.15,10.67,15.34,4.34,3.2
23.68501,90.35631,2020,1,27,0,7.73,70.09,10.71,10.35,21.14,10.42,15.72,3.91,2.34
23.68501,90.35631,2020,1,28,0,8.4,69.73,12.62,11.61,23.08,10.46,17.11,2.7,2.3
23.68501,90.35631,2020,1,29,0.98,9.22,75.28,9.19,13.04,22.75,13.56,17.4,2.94,2.29
23.68501,90.35631,2020,1,30,0.43,10.29,81.35,10.21,14.65,23.03,12.83,17.86,4.16,2.52
23.68501,90.35631,2020,1,31,0.52,9.9,77.72,8.84,14.08,23.26,14.43,17.98,1.51,3.48
23.68501,90.35631,2020,2,1,0,8.32,70.27,11.84,11.5,23.08,11.24,16.87,4.11,3.38
23.68501,90.35631,2020,2,2,0,7.56,64.01,11.78,10.09,22.56,10.78,16.86,3.93,3.14
23.68501,90.35631,2020,2,3,0,6.75,63.76,11.31,8.42,21.32,10.01,15.16,2.57,3.18
23.68501,90.35631,2020,2,4,0,6.9,63.26,13.03,8.72,22.48,9.45,15.6,2.2,3.52
23.68501,90.35631,2020,2,5,0,7.54,63.98,11.1,10.01,22.54,11.44,16.77,2.78,3.22
23.68501,90.35631,2020,2,6,0,7.89,63.75,12.36,10.72,24.02,11.65,17.58,1.64,3.44
23.68501,90.35631,2020,2,7,0,7.69,62.86,12.78,10.34,24.14,11.36,17.4,3.51,3.27
23.68501,90.35631,2020,2,8,0.05,8.04,65.19,12.42,11.01,24.13,11.71,17.54,4.46,4.17
23.68501,90.35631,2020,2,9,0.04,8.5,67.99,10.88,11.86,24.47,13.6,17.76,3.02,5.4
23.68501,90.35631,2020,2,10,0.18,6.8,59.63,14.5,8.52,23.69,9.19,16.32,2.84,4
23.68501,90.35631,2020,2,11,0,7.3,61.55,13.51,9.58,23.94,10.43,16.94,3.34,3.79
23.68501,90.35631,2020,2,12,0,6.98,58.97,14.67,8.88,24.27,9.6,16.88,3.16,4.26
23.68501,90.35631,2020,2,13,0,6.86,55.14,14.22,8.58,24.69,10.47,17.64,2.31,2.93
23.68501,90.35631,2020,2,14,0,8.65,64.98,13.44,12.02,25.47,12.03,18.64,3.29,3.43
23.68501,90.35631,2020,2,15,0,10.57,74.6,12.98,15.08,26.47,13.49,19.65,3.19,3.75
23.68501,90.35631,2020,2,16,0,9.87,65.2,11.96,14.09,26.88,14.92,20.76,2.45,1.85
23.68501,90.35631,2020,2,17,0,9.22,60.56,11.93,13.05,27.08,15.15,20.86,3.08,2.07
23.68501,90.35631,2020,2,18,0,8.91,58.25,12.82,12.51,27.28,14.46,20.93,2.48,2.18
23.68501,90.35631,2020,2,19,0,8.88,56.34,12.09,12.47,27.54,15.45,21.44,2.21,1.6
23.68501,90.35631,2020,2,20,0,8.69,54.43,12.22,12.15,27.93,15.7,21.67,4.48,1.59
23.68501,90.35631,2020,2,21,0,9.46,60.16,13.9,13.48,28.69,14.79,21.43,2.92,3.21
23.68501,90.35631,2020,2,22,0,9.89,60.16,12.68,14.18,29.32,16.65,22.17,3.73,2.68
23.68501,90.35631,2020,2,23,0.01,10.91,61.6,11.6,15.68,29.52,17.92,23.36,2.17,1.99
23.68501,90.35631,2020,2,24,0.06,10.9,60.95,10.27,15.62,28.93,18.66,23.48,1.69,1.5
23.68501,90.35631,2020,2,25,1.28,11.03,70.32,6.67,15.79,24.88,18.21,21.31,5.15,1.8
23.68501,90.35631,2020,2,26,1.02,11.28,71.05,7.64,16.14,25.65,18.01,21.51,3.22,2.37
23.68501,90.35631,2020,2,27,0.24,10.76,69.13,10.09,15.42,26.81,16.72,21.2,4.53,2.51
23.68501,90.35631,2020,2,28,0,9.32,59.46,12.79,13.2,28.19,15.4,21.32,3.12,3.12
23.68501,90.35631,2020,2,29,0,9.33,55.9,13.55,13.18,29.38,15.83,22.32,3.43,2.48
23.68501,90.35631,2020,3,1,0,10.08,57.37,12.43,14.38,29.82,17.39,23.17,2.63,2.57
23.68501,90.35631,2020,3,2,0.55,9.89,53.12,11.91,14.04,30.11,18.19,24.11,2.18,1.83
23.68501,90.35631,2020,3,3,14.31,11.26,60.44,10.2,16.09,29.47,19.26,24.11,3.33,1.62
23.68501,90.35631,2020,3,4,20.11,12.53,70.15,9.61,17.76,28.18,18.57,23.4,3.7,2.15
23.68501,90.35631,2020,3,5,5.64,12.76,70.23,10.13,18.05,28.62,18.49,23.68,1.97,2.44
23.68501,90.35631,2020,3,6,10.85,12.78,71.23,9.89,18.09,28.16,18.27,23.5,3.21,2.76
23.68501,90.35631,2020,3,7,6.33,13.36,76.77,9.63,18.77,27.9,18.27,23,3.3,2.5
23.68501,90.35631,2020,3,8,2.06,13.56,72.57,9.14,19.02,29.07,19.94,24.16,2.39,2.33
23.68501,90.35631,2020,3,9,0,10.25,58.29,11.01,14.62,28.64,17.62,23.16,3.02,2.74
23.68501,90.35631,2020,3,10,0.06,8.97,50.98,10.7,12.54,29.16,18.46,23.2,3.89,2.38
23.68501,90.35631,2020,3,11,0,10.19,55.51,11.8,14.52,29.67,17.87,23.88,2.83,2.49
23.68501,90.35631,2020,3,12,0,11.89,58.23,13.1,16.97,32.09,18.99,25.68,3.35,2.48
23.68501,90.35631,2020,3,13,0,12.37,59.24,13.56,17.6,33.31,19.75,26.05,4.66,3.53
23.68501,90.35631,2020,3,14,0.01,12.03,60.72,12.74,17.15,32.6,19.85,25.15,6.42,5.36
23.68501,90.35631,2020,3,15,0.03,10.84,59.47,13.9,15.51,31.63,17.73,23.77,3.62,6.17
23.68501,90.35631,2020,3,16,0,11.54,59.78,13.42,16.5,31.87,18.45,24.73,2.21,4.76
23.68501,90.35631,2020,3,17,0,10.77,56.17,12.74,15.43,31.16,18.41,24.64,3.51,3.45
23.68501,90.35631,2020,3,18,0,10.34,52.09,12.29,14.75,31.76,19.47,25.2,3.81,2.93
23.68501,90.35631,2020,3,19,0,9.4,45.57,13.88,13.21,32.6,18.72,25.85,3.13,2.29
23.68501,90.35631,2020,3,20,0.44,9.59,47.76,12.86,13.53,31.71,18.84,25.38,2.28,2.09
23.68501,90.35631,2020,3,21,0.06,9.62,44.77,12.53,13.55,32.92,20.39,26.53,3.55,1.84
23.68501,90.35631,2020,3,22,9.49,11.9,59.32,8.52,16.98,30.12,21.6,25.37,3.19,1.91
23.68501,90.35631,2020,3,23,0.18,10.94,56.15,12.22,15.64,30.69,18.47,24.88,4.61,2.69
23.68501,90.35631,2020,3,24,0.63,10.84,51.68,11.52,15.44,31.59,20.07,26.09,1.54,1.11
23.68501,90.35631,2020,3,25,0.23,11.14,51.05,12.45,15.85,33.03,20.57,26.74,3.14,1.57
23.68501,90.35631,2020,3,26,0.14,11.28,48.29,13.21,16.04,34.3,21.09,27.92,2.4,2.04
23.68501,90.35631,2020,3,27,0,11.57,47.46,15.02,16.44,35.67,20.64,28.66,4.27,3.14
23.68501,90.35631,2020,3,28,0,12.55,49.35,14.93,17.71,36.76,21.82,29.35,4.29,4.12
23.68501,90.35631,2020,3,29,0,11.63,46.04,13.85,16.47,36.55,22.69,29.23,3.37,4.33
23.68501,90.35631,2020,3,30,0,9.05,36.79,15.09,12.54,36.16,21.06,28.82,5.6,3.44
23.68501,90.35631,2020,3,31,0,8.68,35.87,15.03,11.9,35.89,20.86,28.55,3.41,2.51
23.68501,90.35631,2020,4,1,0,9.35,37.13,14.35,13.02,36.46,22.11,29.2,4.79,3.03
23.68501,90.35631,2020,4,2,0.28,14.52,56.12,15.62,20.05,37.39,21.77,29.59,3.28,5.36
23.68501,90.35631,2020,4,3,6.04,15.38,59.95,12.47,21.03,36.21,23.74,29.47,4.29,4.07
23.68501,90.35631,2020,4,4,6.28,14.48,58.74,12.89,20.07,35.75,22.86,28.82,6.57,3.58
