date,ws,temp,dew,prec,rh,sp
3/8/2020,1.4,24.1,19.24,1.38,75.31,101.17
3/9/2020,1.33,23.3,15.37,0,63.12,101.09
3/10/2020,1.51,22.87,13.13,0.05,55.69,101.12
3/11/2020,1.36,23.77,14.9,0,58.5,101.11
3/12/2020,1.12,25.76,17.44,0,61.88,101.23
3/13/2020,1.41,25.98,17.69,0,62.75,101.27
3/14/2020,2.35,25.26,17.38,0,64.25,101.15
3/15/2020,2.78,23.93,15.88,0,65.12,101.16
3/16/2020,2.01,24.76,16.78,0,63.81,101.23
3/17/2020,1.51,24.6,15.82,0,60.25,101.31
3/18/2020,1.36,25.12,15.4,0,56.56,101.18
3/19/2020,1.16,25.66,14.03,0,50.88,101.05
3/20/2020,1.14,25.55,14.12,0.39,51.19,100.99
3/21/2020,1.05,26.44,13.9,0.03,48.62,101.04
3/22/2020,0.95,25.48,17.01,3.34,61.25,101.17
3/23/2020,1.26,25.1,15.83,0.08,58.94,101.1
3/24/2020,0.69,26.19,15.76,0.38,54.56,100.95
3/25/2020,0.99,26.62,17.15,0.53,60.12,100.83
3/26/2020,1.01,28.08,16.28,0.17,50.25,100.9
3/27/2020,1.55,28.67,17.05,0,53.25,100.98
3/28/2020,1.84,29.2,17.91,0,53.12,100.76
3/29/2020,1.84,29.3,16.97,0,52.12,100.71
3/30/2020,1.66,28.9,13.1,0,40.81,100.83
3/31/2020,1.34,28.47,12.84,0,40.81,100.9
4/1/2020,1.56,28.87,13.23,0,40.69,100.75
4/2/2020,2.67,29.24,21.03,0.55,65.88,100.66
4/3/2020,2.26,28.98,21.73,10.38,68.88,100.82
4/4/2020,1.56,28.42,21.07,10.77,69.12,100.99
4/5/2020,1.82,28.01,20.96,9.65,69.38,100.98
4/6/2020,1.98,27.82,18.98,6.74,65.31,100.9
4/7/2020,2.98,28.46,19.73,7.04,65.88,100.74
4/8/2020,3.15,29.14,21.5,0.11,67.62,100.8
4/9/2020,2.18,28.01,21.29,0.04,69.81,100.85
4/10/2020,1.79,29,19.56,0,61.81,101.04
4/11/2020,2.05,29.32,20.26,1.85,61.75,101.09
4/12/2020,0.85,28.96,18.05,1.95,55.56,100.99
4/13/2020,1.52,28.98,19.44,2.59,58.44,100.82
4/14/2020,1.7,29.69,20.29,0.25,61.56,100.91
4/15/2020,1.8,29.45,22.49,3.49,69,100.94
4/16/2020,1.59,28.71,21.67,5.6,68.12,100.78
4/17/2020,3.44,29.3,22.58,4.44,70.12,100.69
4/18/2020,3.38,28.47,23.57,17.82,76.81,100.83
4/19/2020,2.61,28.54,23.72,20.12,77.31,100.83
4/20/2020,2.43,27.65,23.67,16.03,80.5,100.85
4/21/2020,1.3,27.79,22.24,9.35,74.06,100.9
4/22/2020,1.48,26.55,21.3,2.48,74.56,100.88
4/23/2020,1.56,27.05,22.33,12.83,76.94,100.84
4/24/2020,1.59,25.94,22.55,35.04,82.56,100.81
4/25/2020,1.27,26.61,23.39,26.66,83.69,100.8
4/26/2020,1.45,26.26,23.78,28.34,87,100.99
4/27/2020,1.41,26.04,22.69,13.47,82.75,101.16
4/28/2020,1.23,25.92,22.93,19.69,84.25,101.07
